NOME_PRODUTO,URL,CATEGORIA,PORCAO (g),CALORIAS (kcal),CARBOIDRATOS (g),PROTEINAS (g),GORDURAS_TOTAIS (g),GORDURAS_SATURADAS (g),GORDURAS_TRANS (g),FIBRAS (g),ACUCARES (g),SODIO (mg)
Croissant Traditional,https://thecoffee.jp/shortcut/brasil/sao-paulo/the-coffee-vila-olimpia/menu,PRODUTOS,1 unidade (50g),350.0,37.0,5.0,21.0,14.0,0.0,1.0,0,328.0
Pure Black (Double Shot),https://thecoffee.jp/shortcut/brasil/sao-paulo/the-coffee-vila-olimpia/menu,PRODUTOS,1/2 copo pequeno (36ml),25.0,4.2,1.9,0.0,0.0,0.0,0.0,0,0.0
Americano,https://thecoffee.jp/shortcut/brasil/sao-paulo/the-coffee-vila-olimpia/menu,PRODUTOS,1/2 copo médio (160ml),5.6,0.9,0.4,0.0,0.0,0.0,0.0,0,1.6
True White,https://thecoffee.jp/shortcut/brasil/sao-paulo/the-coffee-vila-olimpia/menu,PRODUTOS,1 copo médio (220ml),47.5,4.2,2.6,2.2,1.8,0.0,0.0,0,50.3
Matcha Latte,https://thecoffee.jp/shortcut/brasil/sao-paulo/the-coffee-vila-olimpia/menu,PRODUTOS,1 copo médio (220ml),43.6,3.6,2.3,2.2,1.8,0.0,0.1,0,50.3
Chai Latte,https://thecoffee.jp/shortcut/brasil/sao-paulo/the-coffee-vila-olimpia/menu,PRODUTOS,1 copo médio (220ml),44.8,3.7,2.3,2.2,1.8,0.0,0.0,0,50.4
Iced Black,https://thecoffee.jp/shortcut/brasil/sao-paulo/the-coffee-vila-olimpia/menu,PRODUTOS,1 copo grande (330ml),2.7,0.5,0.2,0.0,0.0,0.0,0.0,0,0.0
Iced Latte,https://thecoffee.jp/shortcut/brasil/sao-paulo/the-coffee-vila-olimpia/menu,PRODUTOS,1 copo grande (330ml),33.1,2.9,1.8,1.5,1.3,0.0,0.0,0,35.0
Matcha Iced Latte,https://thecoffee.jp/shortcut/brasil/sao-paulo/the-coffee-vila-olimpia/menu,PRODUTOS,1 copo grande (330ml),30.4,2.5,1.6,1.5,1.3,0.0,0.0,0,35.0
Iced Chocolate,https://thecoffee.jp/shortcut/brasil/sao-paulo/the-coffee-vila-olimpia/menu,PRODUTOS,1 copo grande (330ml),40.1,4.4,1.8,1.7,1.3,0.0,0.3,0,36.4
Chai Iced Latte,https://thecoffee.jp/shortcut/brasil/sao-paulo/the-coffee-vila-olimpia/menu,PRODUTOS,1 copo grande (330ml),31.2,2.5,1.6,1.5,1.3,0.0,0.0,0,35.1
Honey Latte,https://thecoffee.jp/shortcut/brasil/sao-paulo/the-coffee-vila-olimpia/menu,PRODUTOS,1 copo médio (220ml),75.2,9.3,2.3,2.3,1.8,0.0,0.7,0,53.0
